Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 42,Area Sample 42,#Peptides,#Unique,#Spec Sample 42,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,323.52,31,31,4.7339E6,170,170,819,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,6,tr|F1RX37|F1RX37_PIG,306.42,20,20,2.4558E6,97,97,584,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,2,P01965|HBA_PIG,305.22,97,97,3.9592E5,180,180,426,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
4,13,P27917|APOC3_PIG,281.00,77,77,3.1165E5,81,81,231,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
5,9,P02067|HBB_PIG,268.49,69,69,1.8397E5,77,77,159,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
11,14,P00355|G3P_PIG,195.15,46,46,1.9062E4,28,28,36,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
9,5,P18648|APOA1_PIG,192.29,35,35,8.862E4,21,21,49,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
10,3,Q6QAQ1|ACTB_PIG,189.75,34,34,1.2931E4,27,27,49,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
15,15,P19619|ANXA1_PIG,187.55,6,6,2.6927E4,13,13,23,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
8,133,Q95JC9|PRP_PIG,159.00,10,10,8.3813E4,17,17,58,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
6,7,P51524|PF11_PIG,158.45,45,45,7.5976E5,22,16,109,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
14,4,P02543|VIME_PIG,147.83,23,23,9.1958E3,17,17,23,,53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
7,12,P80054|PR39_PIG,139.30,35,35,1.0896E5,14,8,104,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
13,10,Q19AZ8|THRB_PIG,137.38,8,8,1.5828E4,11,11,24,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
17,77,Q95274|TYB4_PIG,130.66,57,57,2.7721E4,9,9,18,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
19,467,Q95JC8|ARGI1_PIG,114.26,12,12,3.2707E3,7,7,10,,35018,Arginase-1 OS=Sus scrofa OX=9823 GN=ARG1 PE=2 SV=1
12,47,O97507|FA12_PIG,108.81,6,6,1.7714E5,5,5,30,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
26,700,P80272|HMGN2_PIG,107.10,20,20,0,4,4,6,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
22,81,O19084|CDSN_PIG,106.15,12,12,3.5265E3,5,5,6,,21644,Corneodesmosin (Fragment) OS=Sus scrofa OX=9823 GN=CDSN PE=3 SV=1
18,24,P29700|FETUA_PIG,105.64,13,13,2.0633E3,5,5,12,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
20,84,P62936|PPIA_PIG,104.19,14,14,3.0397E3,5,5,9,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
29,33,P08835|ALBU_PIG,87.69,4,4,7.4204E3,4,4,5,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
21,31,P18650|APOE_PIG,86.07,14,14,3.1724E3,5,5,8,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
24,40,Q29099|PTBP1_PIG,81.69,4,4,1.7647E3,3,3,6,,59694,Polypyrimidine tract-binding protein 1 OS=Sus scrofa OX=9823 GN=PTBP1 PE=2 SV=2
16,56,P10668|COF1_PIG,78.94,25,25,1.6176E4,2,2,22,,18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
37,697,P62901|RL31_PIG,77.94,18,18,6.5167E2,2,2,3,,14463,60S ribosomal protein L31 OS=Sus scrofa OX=9823 GN=RPL31 PE=1 SV=1
44,190,P50390|TTHY_PIG,71.21,11,11,5.2411E2,2,2,2,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
