Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 74,Area Sample 74,#Peptides,#Unique,#Spec Sample 74,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,371.93,44,44,6.5796E6,327,327,1915,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,6,tr|F1RX37|F1RX37_PIG,297.58,20,20,4.2332E6,89,89,811,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,13,P27917|APOC3_PIG,265.21,77,77,7.7136E5,59,59,373,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
3,7,P51524|PF11_PIG,245.08,56,56,2.1009E6,80,38,675,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
5,12,P80054|PR39_PIG,231.18,42,42,1.3642E5,59,17,342,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
7,26,P0DSO0|SAA2_PIG,219.36,78,78,1.7591E5,51,51,123,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
8,5,P18648|APOA1_PIG,208.34,49,49,1.1358E5,40,40,117,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
9,3,Q6QAQ1|ACTB_PIG,188.33,37,37,4.8334E4,43,43,66,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
12,10,Q19AZ8|THRB_PIG,170.39,19,19,2.6947E4,19,19,37,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
6,133,Q95JC9|PRP_PIG,156.74,13,13,2.1772E5,18,17,125,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
13,2,P01965|HBA_PIG,148.70,57,57,4.37E4,20,20,36,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
14,77,Q95274|TYB4_PIG,139.47,57,57,4.1717E4,12,12,36,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
16,9,P02067|HBB_PIG,136.03,32,32,1.3938E4,8,8,20,,16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
10,15,P19619|ANXA1_PIG,132.02,8,8,6.6971E4,6,6,60,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
15,84,P62936|PPIA_PIG,131.23,25,25,2.1862E4,10,10,26,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
20,59,P06867|PLMN_PIG,130.60,3,3,2.0244E4,10,10,12,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
17,1705,Q8MJ49|OSTF1_PIG,123.53,14,14,1.2627E4,4,4,16,,23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
18,286,P48819|VTNC_PIG,114.68,9,9,6.8405E3,6,6,13,,52572,Vitronectin OS=Sus scrofa OX=9823 GN=VTN PE=1 SV=1
19,27,P01025|CO3_PIG,114.10,4,4,5.2028E3,7,7,12,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
11,24,P29700|FETUA_PIG,111.12,12,12,4.6396E4,8,8,56,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
21,31,P18650|APOE_PIG,110.87,14,14,1.559E4,9,9,12,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
22,33,P08835|ALBU_PIG,94.69,6,6,1.4003E4,6,6,10,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
23,63,P79263|ITIH4_PIG,90.46,4,4,1.3922E4,4,4,9,,102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
28,37,Q5S1U1|HSPB1_PIG,79.44,20,20,2.0922E3,3,3,6,,22942,Heat shock protein beta-1 OS=Sus scrofa OX=9823 GN=HSPB1 PE=2 SV=1
29,56,P10668|COF1_PIG,77.77,22,22,9.4854E2,3,3,6,,18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
24,97,P08001|ACRO_PIG,74.12,3,3,2.141E3,4,3,8,,45362,Acrosin OS=Sus scrofa OX=9823 GN=ACR PE=1 SV=5
24,70,O62651|WT1_PIG,74.12,2,2,2.141E3,4,3,8,,49166,Wilms tumor protein homolog OS=Sus scrofa OX=9823 GN=WT1 PE=2 SV=1
24,34,A5D9M6|BAG6_PIG,74.12,1,1,2.141E3,4,3,8,,118627,Large proline-rich protein BAG6 OS=Sus scrofa OX=9823 GN=BAG6 PE=1 SV=1
