Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 22,Area Sample 22,#Peptides,#Unique,#Spec Sample 22,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,679.61,42,42,8.684E6,298,298,1578,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
4,318305,P27917|APOC3_PIG,484.81,70,70,1.0253E6,63,63,341,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
3,419909,tr|F1RX37|F1RX37_PIG,452.46,19,19,2.1301E6,59,59,453,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
6,318301,Q6QAQ1|ACTB_PIG,417.25,54,54,1.4415E5,84,41,151,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
2,318303,P51524|PF11_PIG,398.79,51,51,2.1196E6,74,33,454,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
8,318311,P18648|APOA1_PIG,382.01,54,54,1.7401E5,36,36,99,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
5,318310,P80054|PR39_PIG,380.14,35,35,1.5117E5,52,11,305,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
7,318306,P0DSO0|SAA2_PIG,367.29,60,60,3.7215E5,42,42,138,,14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
9,318302,P68137|ACTS_PIG,351.55,36,36,1.5717E2,44,1,66,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
16,318313,P19619|ANXA1_PIG,278.94,12,12,4.7E4,14,14,29,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
