Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 39,Area Sample 39,#Peptides,#Unique,#Spec Sample 39,PTM,Avg. Mass,Description
2,1,tr|F1RX36|F1RX36_PIG,382.14,35,35,3.3865E6,137,137,547,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
1,6,tr|F1RX37|F1RX37_PIG,375.56,16,16,2.7928E6,94,94,603,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,2,P01965|HBA_PIG,337.48,95,95,1.9274E5,112,112,240,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
4,13,P27917|APOC3_PIG,333.36,77,77,2.6181E5,66,66,202,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,9,P02067|HBB_PIG,292.04,63,63,6.5624E4,48,48,82,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
8,14,P00355|G3P_PIG,225.29,24,24,3.6794E4,16,16,32,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
7,5,P18648|APOA1_PIG,219.17,35,35,2.714E4,20,20,41,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
13,15,P19619|ANXA1_PIG,215.00,6,6,9.5073E3,11,11,19,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
10,81,O19084|CDSN_PIG,191.14,26,26,2.0267E4,12,12,26,Oxidation (M),21644,Corneodesmosin (Fragment) OS=Sus scrofa OX=9823 GN=CDSN PE=3 SV=1
14,38,Q3BDI7|DSG1_PIG,185.68,9,9,5.9502E3,11,11,15,,113318,Desmoglein-1 OS=Sus scrofa OX=9823 GN=DSG1 PE=2 SV=1
5,7,P51524|PF11_PIG,181.41,24,24,8.0858E5,19,18,145,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
12,10,Q19AZ8|THRB_PIG,169.06,7,7,1.6601E4,11,11,19,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
15,3,Q6QAQ1|ACTB_PIG,167.42,21,21,2.6202E3,13,8,15,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
20,700,P80272|HMGN2_PIG,165.46,43,43,2.2183E3,6,6,11,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
17,11,P68137|ACTS_PIG,146.52,16,16,3.606E2,9,4,12,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
21,24,P29700|FETUA_PIG,141.39,9,9,1.3181E3,6,6,10,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
22,77,Q95274|TYB4_PIG,131.49,57,57,1.8651E4,7,7,8,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
19,4,P02543|VIME_PIG,130.76,17,17,3.4229E3,9,9,11,,53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
16,27,P01025|CO3_PIG,118.06,3,3,2.0753E3,6,6,13,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
11,133,Q95JC9|PRP_PIG,114.16,5,5,1.1333E4,5,5,23,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
23,26,P0DSO0|SAA2_PIG,94.31,36,36,6.2125E2,3,3,6,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
18,47,O97507|FA12_PIG,92.56,3,3,4.4349E4,2,2,11,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
9,12,P80054|PR39_PIG,92.33,17,17,1.8802E4,4,3,29,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
28,40,Q29099|PTBP1_PIG,88.19,4,4,3.1319E2,3,3,3,,59694,Polypyrimidine tract-binding protein 1 OS=Sus scrofa OX=9823 GN=PTBP1 PE=2 SV=2
32,60,P09571|TRFE_PIG,87.28,3,3,0,2,2,2,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
39,76,Q29308|RS19_PIG,85.48,14,14,3.9729E2,2,2,2,,15103,40S ribosomal protein S19 (Fragment) OS=Sus scrofa OX=9823 GN=RPS19 PE=2 SV=3
27,766,Q9GLP2|PROC_PIG,79.05,3,3,5.7803E3,2,2,3,,51867,Vitamin K-dependent protein C OS=Sus scrofa OX=9823 GN=PROC PE=2 SV=1
45,83,P50447|A1AT_PIG,73.51,4,4,1.008E3,1,1,1,,47194,Alpha-1-antitrypsin OS=Sus scrofa OX=9823 GN=SERPINA1 PE=2 SV=1
38,190,P50390|TTHY_PIG,71.47,11,11,0,2,2,2,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
24,2048,A1XQU1|PSB7_PIG,70.80,8,8,1.2561E2,2,2,5,,29980,Proteasome subunit beta type-7 OS=Sus scrofa OX=9823 GN=PSMB7 PE=2 SV=2
26,250,Q9TV63|MYH2_PIG,66.53,2,2,3.5001E2,2,2,3,,223148,Myosin-2 OS=Sus scrofa OX=9823 GN=MYH2 PE=2 SV=1
26,197,Q9TV61|MYH1_PIG,66.53,2,2,3.5001E2,2,2,3,,223171,Myosin-1 OS=Sus scrofa OX=9823 GN=MYH1 PE=2 SV=1
26,147,Q9TV62|MYH4_PIG,66.53,2,2,3.5001E2,2,2,3,,223234,Myosin-4 OS=Sus scrofa OX=9823 GN=MYH4 PE=2 SV=1
35,31,P18650|APOE_PIG,65.06,7,7,1.0401E3,2,2,2,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
41,5221,P12309|GLRX1_PIG,60.32,20,20,6.1987E1,1,1,2,,11828,Glutaredoxin-1 OS=Sus scrofa OX=9823 GN=GLRX PE=1 SV=2
29,33,P08835|ALBU_PIG,60.31,2,2,0,1,1,3,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
34,656,Q9TT01|DMRT1_PIG,59.26,5,5,3.0901E4,2,2,2,,39346,Doublesex- and mab-3-related transcription factor 1 OS=Sus scrofa OX=9823 GN=DMRT1 PE=2 SV=1
62,2631,Q95281|RL29_PIG,57.62,19,19,0,1,1,1,,17498,60S ribosomal protein L29 OS=Sus scrofa OX=9823 GN=RPL29 PE=1 SV=4
33,640,Q29052|ITIH1_PIG,55.06,1,1,0,1,1,2,,100395,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Sus scrofa OX=9823 GN=ITIH1 PE=2 SV=1
51,185,P02550|TBA1A_PIG,54.36,3,3,3.0885E2,1,1,1,,50069,Tubulin alpha-1A chain OS=Sus scrofa OX=9823 GN=TUBA1A PE=1 SV=1
51,177,Q2XVP4|TBA1B_PIG,54.36,3,3,3.0885E2,1,1,1,,50152,Tubulin alpha-1B chain OS=Sus scrofa OX=9823 GN=TUBA1B PE=1 SV=1
59,1736,Q2LE37|APOM_PIG,52.21,12,12,0,1,1,1,,21241,Apolipoprotein M OS=Sus scrofa OX=9823 GN=APOM PE=2 SV=1
31,112,O02773|MA1A1_PIG,52.16,2,2,1.4769E2,1,1,2,,73197,Mannosyl-oligosaccharide 1 2-alpha-mannosidase IA OS=Sus scrofa OX=9823 GN=MAN1A1 PE=1 SV=1
37,1522,P19620|ANXA2_PIG,51.79,4,4,1.5079E2,1,1,2,,38542,Annexin A2 OS=Sus scrofa OX=9823 GN=ANXA2 PE=1 SV=4
36,851,P00346|MDHM_PIG,50.68,5,5,1.8803E2,1,1,2,,35603,Malate dehydrogenase  mitochondrial OS=Sus scrofa OX=9823 GN=MDH2 PE=1 SV=2
52,85,P80021|ATPA_PIG,50.00,3,3,2.1741E2,1,1,1,,59688,ATP synthase subunit alpha  mitochondrial OS=Sus scrofa OX=9823 GN=ATP5F1A PE=1 SV=2
53,696,Q7SIB7|PGK1_PIG,47.63,6,6,0,1,1,1,,44559,Phosphoglycerate kinase 1 OS=Sus scrofa OX=9823 GN=PGK1 PE=1 SV=3
57,1708,Q29558|MAOX_PIG,46.29,2,2,1.5018E2,1,1,1,,62006,NADP-dependent malic enzyme (Fragment) OS=Sus scrofa OX=9823 GN=ME1 PE=2 SV=1
30,35,O62839|CATA_PIG,44.55,3,3,1.7416E2,1,1,3,,59891,Catalase OS=Sus scrofa OX=9823 GN=CAT PE=1 SV=4
60,715,P02725|GLPA_PIG,42.91,12,12,0,1,1,1,,14000,Glycophorin-A OS=Sus scrofa OX=9823 GN=GYPA PE=1 SV=1
