Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 46,Area Sample 46,#Peptides,#Unique,#Spec Sample 46,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,404.30,41,41,1.9483E6,300,300,1126,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,419909,tr|F1RX37|F1RX37_PIG,303.01,13,13,4.032E5,55,55,222,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,318305,P27917|APOC3_PIG,268.92,55,55,6.8154E4,45,45,99,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
5,318329,Q95274|TYB4_PIG,186.75,73,73,2.4778E4,19,19,34,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
3,318303,P51524|PF11_PIG,177.97,26,26,4.1911E5,20,20,157,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
7,318471,P01965|HBA_PIG,176.33,38,38,8.3148E3,15,15,20,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
8,318306,P0DSO0|SAA2_PIG,169.22,47,47,8.3765E3,12,12,16,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
11,318313,P19619|ANXA1_PIG,162.25,4,4,7.3889E3,7,7,13,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
9,318301,Q6QAQ1|ACTB_PIG,158.82,22,22,6.7386E3,11,11,14,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
15,318311,P18648|APOA1_PIG,150.78,20,20,2.1238E3,7,7,9,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
10,318307,P02543|VIME_PIG,144.14,14,14,3.2114E3,12,12,14,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
6,318314,P29700|FETUA_PIG,140.86,8,8,1.385E4,7,7,30,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
21,318803,P80272|HMGN2_PIG,128.42,53,53,4.7848E2,4,4,5,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
