Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 17,Area Sample 17,#Peptides,#Unique,#Spec Sample 17,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,396.86,31,31,2.6498E6,142,142,819,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,419909,tr|F1RX37|F1RX37_PIG,339.30,12,12,5.8912E5,39,39,325,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
5,318305,P27917|APOC3_PIG,323.20,65,65,2.209E5,44,44,138,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
2,318303,P51524|PF11_PIG,261.28,53,53,2.1085E6,71,41,540,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
4,318310,P80054|PR39_PIG,231.93,29,29,1.2549E4,37,7,194,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
7,318301,Q6QAQ1|ACTB_PIG,211.48,25,25,2.2633E4,28,28,40,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
11,318313,P19619|ANXA1_PIG,185.38,8,8,1.2079E4,8,8,19,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
10,318306,P0DSO0|SAA2_PIG,181.19,40,40,2.0303E4,16,16,26,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
6,318329,Q95274|TYB4_PIG,165.92,57,57,6.3661E4,13,13,62,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
16,318311,P18648|APOA1_PIG,158.96,22,22,5.5954E3,8,8,11,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
15,318315,Q19AZ8|THRB_PIG,152.73,13,13,6.9337E3,8,8,11,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
14,318323,P06867|PLMN_PIG,145.88,2,2,4.3182E3,8,8,12,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
17,318471,P01965|HBA_PIG,136.29,35,35,8.0132E3,9,9,11,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
18,318803,P80272|HMGN2_PIG,135.89,49,49,2.737E3,5,5,9,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
13,318326,P79263|ITIH4_PIG,119.40,3,3,9.5598E3,5,5,14,,102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
22,318366,Q8MJ49|OSTF1_PIG,118.61,7,7,1.1079E3,3,3,5,,23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
20,318386,P62936|PPIA_PIG,105.35,9,9,6.5677E3,4,4,7,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
19,319333,P17741|HMGB2_PIG,104.98,10,10,4.537E3,6,5,8,,24133,High mobility group protein B2 OS=Sus scrofa OX=9823 GN=HMGB2 PE=1 SV=2
8,319560,Q8SPS7|HPT_PIG,99.13,8,8,5.2573E4,4,4,39,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
26,318380,P50390|TTHY_PIG,99.01,11,11,3.6761E3,3,3,3,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
9,318332,P80310|S10AC_PIG,93.46,46,46,8.57E3,4,4,27,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
28,318349,Q767K6|DHX16_PIG,84.38,1,1,3.1587E2,2,1,2,,119648,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Sus scrofa OX=9823 GN=DHX16 PE=3 SV=1
28,318356,P16960|RYR1_PIG,84.38,0,0,3.1587E2,2,1,2,,565340,Ryanodine receptor 1 OS=Sus scrofa OX=9823 GN=RYR1 PE=2 SV=2
28,318335,F1SC07|DYH11_PIG,84.38,0,0,3.1587E2,2,1,2,,519623,Dynein axonemal heavy chain 11 OS=Sus scrofa OX=9823 GN=DNAH11 PE=1 SV=4
28,322394,O77666|TRI26_PIG,84.38,2,2,3.1587E2,2,1,2,,62778,Tripartite motif-containing protein 26 OS=Sus scrofa OX=9823 GN=TRIM26 PE=3 SV=2
25,319005,P02067|HBB_PIG,82.26,20,20,5.3746E2,2,2,4,,16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
12,318314,P29700|FETUA_PIG,70.52,6,6,4.0277E3,2,2,15,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
21,318328,P01025|CO3_PIG,63.17,2,2,5.964E3,3,3,6,,186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
23,318560,P09571|TRFE_PIG,61.88,3,3,1.4487E3,2,2,4,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
24,320063,P08835|ALBU_PIG,58.75,3,3,6.0058E3,2,2,4,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
35,318350,P06348|H1T_PIG,57.44,7,7,1.3563E2,1,1,1,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
27,318357,P48819|VTNC_PIG,55.01,3,3,1.0571E3,2,2,3,,52572,Vitronectin OS=Sus scrofa OX=9823 GN=VTN PE=1 SV=1
46,318810,Q29308|RS19_PIG,51.72,10,10,1.5412E2,1,1,1,,15103,40S ribosomal protein S19 (Fragment) OS=Sus scrofa OX=9823 GN=RPS19 PE=2 SV=3
43,318359,P18650|APOE_PIG,42.88,4,4,1.3221E3,1,1,1,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
39,318841,A0PFK5|CAZA1_PIG,39.06,5,5,3.9215E2,1,1,1,,33017,F-actin-capping protein subunit alpha-1 OS=Sus scrofa OX=9823 GN=CAPZA1 PE=1 SV=1
39,318718,Q29221|CAZA2_PIG,39.06,5,5,3.9215E2,1,1,1,,32981,F-actin-capping protein subunit alpha-2 OS=Sus scrofa OX=9823 GN=CAPZA2 PE=2 SV=3
31,319760,O97507|FA12_PIG,37.66,2,2,4.5273E2,1,1,2,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
32,319469,Q95281|RL29_PIG,36.44,18,18,3.0201E2,1,1,2,,17498,60S ribosomal protein L29 OS=Sus scrofa OX=9823 GN=RPL29 PE=1 SV=4
38,318342,P14632|TRFL_PIG,35.36,3,3,0,1,1,1,,77626,Lactotransferrin OS=Sus scrofa OX=9823 GN=LTF PE=1 SV=3
45,318690,P21753|TYB10_PIG,35.34,50,50,7.8704E2,1,1,1,,4823,Thymosin beta-10 OS=Sus scrofa OX=9823 GN=TMSB10 PE=1 SV=2
41,322391,P12682|HMGB1_PIG,34.77,7,7,1.522E3,1,1,1,,24917,High mobility group protein B1 OS=Sus scrofa OX=9823 GN=HMGB1 PE=2 SV=3
