Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 6,Area Sample 6,#Peptides,#Unique,#Spec Sample 6,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,350.79,37,37,4.8163E6,180,180,1245,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,6,tr|F1RX37|F1RX37_PIG,335.86,16,16,7.0456E6,107,107,795,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,2,P01965|HBA_PIG,330.43,97,97,5.2566E5,141,141,373,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
4,13,P27917|APOC3_PIG,269.84,68,68,2.1566E5,49,49,165,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,9,P02067|HBB_PIG,262.07,62,62,1.1914E5,61,61,138,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
8,5,P18648|APOA1_PIG,193.81,31,31,1.7204E4,19,19,37,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
5,7,P51524|PF11_PIG,182.29,34,34,3.7657E5,26,26,143,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
9,3,Q6QAQ1|ACTB_PIG,178.12,23,23,5.109E3,19,8,36,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
13,10,Q19AZ8|THRB_PIG,165.32,11,11,7.9466E3,10,10,18,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
15,15,P19619|ANXA1_PIG,160.16,4,4,1.1101E4,8,8,16,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
11,11,P68137|ACTS_PIG,153.66,16,16,1.3425E3,11,1,23,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
7,133,Q95JC9|PRP_PIG,152.26,10,10,5.5533E4,12,12,57,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
