Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 11,Area Sample 11,#Peptides,#Unique,#Spec Sample 11,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,510.81,40,40,5.8993E6,200,200,1322,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,419909,tr|F1RX37|F1RX37_PIG,379.11,17,17,9.6758E5,52,52,374,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,318305,P27917|APOC3_PIG,355.62,68,68,4.0607E5,40,40,237,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
3,318303,P51524|PF11_PIG,297.11,48,48,5.7304E5,46,21,357,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
3,318304,P51525|PF12_PIG,297.11,48,48,5.7304E5,46,21,357,,25855,Prophenin-2 OS=Sus scrofa OX=9823 PE=2 SV=1
6,318301,Q6QAQ1|ACTB_PIG,294.77,40,40,6.4667E4,39,39,69,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
5,318310,P80054|PR39_PIG,270.38,35,35,1.2057E4,31,6,84,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
7,318311,P18648|APOA1_PIG,248.01,28,28,5.4924E4,14,14,53,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
8,318313,P19619|ANXA1_PIG,229.97,4,4,6.1691E4,10,10,45,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
11,318306,P0DSO0|SAA2_PIG,203.19,43,43,2.3446E4,14,14,23,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
12,318471,P01965|HBA_PIG,201.31,57,57,1.5214E4,13,13,23,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
13,318359,P18650|APOE_PIG,199.58,15,15,1.961E4,9,9,16,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
16,318329,Q95274|TYB4_PIG,189.73,55,55,1.4015E4,8,8,14,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
10,319005,P02067|HBB_PIG,171.30,24,24,5.0599E3,7,7,24,,16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
15,318428,P00355|G3P_PIG,164.12,15,15,2.9826E4,7,7,15,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
24,318332,P80310|S10AC_PIG,159.53,25,25,5.5323E3,4,4,9,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
17,318315,Q19AZ8|THRB_PIG,158.43,9,9,7.6778E3,6,6,12,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
9,318314,P29700|FETUA_PIG,144.41,11,11,6.8109E3,5,5,31,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
22,318307,P02543|VIME_PIG,142.78,11,11,1.8866E3,7,7,9,,53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
20,318328,P01025|CO3_PIG,141.35,2,2,4.8944E3,5,5,11,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
30,318366,Q8MJ49|OSTF1_PIG,136.78,7,7,1.7327E3,2,2,4,,23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
31,318803,P80272|HMGN2_PIG,130.07,26,26,5.9108E2,3,3,4,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
23,318380,P50390|TTHY_PIG,129.17,11,11,8.9773E3,3,3,9,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
29,318337,Q767L7|TBB5_PIG,126.81,6,6,6.9751E2,3,3,4,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
25,318326,P79263|ITIH4_PIG,120.42,4,4,4.306E3,4,4,6,,102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
14,318386,P62936|PPIA_PIG,118.14,9,9,1.772E4,3,3,16,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
28,320303,Q5S1U1|HSPB1_PIG,116.35,26,26,2.1175E3,4,4,5,,22942,Heat shock protein beta-1 OS=Sus scrofa OX=9823 GN=HSPB1 PE=2 SV=1
27,318442,P10668|COF1_PIG,115.67,10,10,2.47E3,3,3,6,,18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
26,318323,P06867|PLMN_PIG,114.39,3,3,1.3546E4,4,4,6,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
33,319560,Q8SPS7|HPT_PIG,111.42,5,5,2.7255E3,2,2,3,,38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
21,318340,Q95JC9|PRP_PIG,101.04,4,4,9.9921E3,3,2,11,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
18,318560,P09571|TRFE_PIG,99.36,4,4,4.3156E4,3,3,12,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
34,318949,Q29549|CLUS_PIG,99.28,6,6,3.0638E3,3,3,3,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
35,320063,P08835|ALBU_PIG,98.54,3,3,7.837E2,3,3,3,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
38,318350,P06348|H1T_PIG,81.56,7,7,1.3477E3,2,2,2,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
19,318325,A5D9M6|BAG6_PIG,80.49,1,1,2.183E3,2,1,11,,118627,Large proline-rich protein BAG6 OS=Sus scrofa OX=9823 GN=BAG6 PE=1 SV=1
19,318336,O62651|WT1_PIG,80.49,2,2,2.183E3,2,1,11,,49166,Wilms tumor protein homolog OS=Sus scrofa OX=9823 GN=WT1 PE=2 SV=1
19,318333,P0DW16|RBM20_PIG,80.49,1,1,2.183E3,2,1,11,,133295,RNA-binding protein 20 OS=Sus scrofa OX=9823 GN=RBM20 PE=1 SV=1
19,318341,Q9BEA8|TNFL6_PIG,80.49,3,3,2.183E3,2,1,11,,31756,Tumor necrosis factor ligand superfamily member 6 OS=Sus scrofa OX=9823 GN=FASLG PE=2 SV=1
