Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 23,Area Sample 23,#Peptides,#Unique,#Spec Sample 23,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,469.13,41,41,7.2678E6,315,315,1341,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,419909,tr|F1RX37|F1RX37_PIG,387.79,27,27,2.4883E6,75,75,530,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,318305,P27917|APOC3_PIG,340.07,68,68,6.7811E5,47,47,227,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,318311,P18648|APOA1_PIG,315.71,61,61,2.3264E5,56,56,132,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
3,318303,P51524|PF11_PIG,307.99,57,57,2.826E6,77,46,512,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
7,318301,Q6QAQ1|ACTB_PIG,289.01,55,55,8.497E4,72,30,130,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
5,318310,P80054|PR39_PIG,280.07,35,35,8.0665E4,42,11,197,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
8,318560,P09571|TRFE_PIG,255.29,14,14,2.2582E5,29,29,83,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
10,318302,P68137|ACTS_PIG,254.86,35,35,9.5501E2,43,1,75,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
16,318313,P19619|ANXA1_PIG,224.67,10,10,8.5779E4,13,13,42,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
11,318471,P01965|HBA_PIG,214.57,54,54,1.365E5,22,22,75,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
14,318306,P0DSO0|SAA2_PIG,210.42,67,67,5.583E4,26,26,47,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
21,318315,Q19AZ8|THRB_PIG,208.68,15,15,2.0716E4,16,16,26,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
20,318428,P00355|G3P_PIG,202.03,38,38,7.4627E4,14,14,29,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
25,319005,P02067|HBB_PIG,200.41,46,46,1.4407E4,14,14,20,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
13,318314,P29700|FETUA_PIG,198.05,21,21,3.5184E4,15,15,54,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
12,318329,Q95274|TYB4_PIG,194.47,95,95,2.1763E5,18,17,61,Oxidation (M),5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
17,318307,P02543|VIME_PIG,191.05,28,28,1.5401E4,24,24,33,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
18,318386,P62936|PPIA_PIG,188.57,31,31,4.5509E4,15,15,30,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
19,318803,P80272|HMGN2_PIG,187.72,62,62,1.3253E4,10,10,30,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
9,319560,Q8SPS7|HPT_PIG,184.26,10,10,4.6049E5,9,9,75,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
30,318337,Q767L7|TBB5_PIG,173.14,17,17,6.9993E3,7,7,11,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
22,318359,P18650|APOE_PIG,172.64,18,18,2.0425E4,11,11,25,Oxidation (M),36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
23,318380,P50390|TTHY_PIG,168.97,15,15,5.5077E4,7,7,25,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
28,318442,P10668|COF1_PIG,155.71,29,29,1.1166E4,9,9,13,Oxidation (M),18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
34,318323,P06867|PLMN_PIG,141.39,2,2,1.8848E4,5,5,8,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
15,318350,P06348|H1T_PIG,141.28,24,24,4.3629E4,11,11,46,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
26,320063,P08835|ALBU_PIG,131.48,9,9,3.5843E4,10,10,18,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
24,318332,P80310|S10AC_PIG,121.32,34,34,1.1762E5,4,4,25,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
37,318767,P16469|LOX15_PIG,118.40,9,9,5.0647E3,6,6,6,,75004,Polyunsaturated fatty acid lipoxygenase ALOX15 OS=Sus scrofa OX=9823 GN=ALOX15 PE=1 SV=3
29,319333,P17741|HMGB2_PIG,117.96,25,25,4.7083E3,8,8,12,,24133,High mobility group protein B2 OS=Sus scrofa OX=9823 GN=HMGB2 PE=1 SV=2
35,318326,P79263|ITIH4_PIG,106.20,3,3,8.0502E3,3,3,8,,102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
32,318328,P01025|CO3_PIG,103.69,5,5,1.071E4,7,7,9,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
41,318949,Q29549|CLUS_PIG,100.57,9,9,3.2568E3,4,4,4,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
39,318366,Q8MJ49|OSTF1_PIG,97.34,7,7,7.7825E2,2,2,5,,23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
27,318650,P31950|S10AB_PIG,94.10,10,10,1.2261E4,2,2,14,,11180,Protein S100-A11 OS=Sus scrofa OX=9823 GN=S100A11 PE=1 SV=1
48,320263,P62901|RL31_PIG,89.20,26,26,1.5112E3,2,2,3,,14463,60S ribosomal protein L31 OS=Sus scrofa OX=9823 GN=RPL31 PE=1 SV=1
36,318690,P21753|TYB10_PIG,87.05,52,52,8.2975E3,4,3,8,,4823,Thymosin beta-10 OS=Sus scrofa OX=9823 GN=TMSB10 PE=1 SV=2
