Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 5,Area Sample 5,#Peptides,#Unique,#Spec Sample 5,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,388.12,31,31,6.5068E6,117,117,980,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,6,tr|F1RX37|F1RX37_PIG,341.25,19,19,1.1289E6,58,58,341,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,13,P27917|APOC3_PIG,309.50,54,54,1.2347E5,39,39,138,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
5,2,P01965|HBA_PIG,234.21,72,72,2.4215E4,26,26,45,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
12,15,P19619|ANXA1_PIG,201.71,4,4,6.5188E3,8,8,13,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
8,9,P02067|HBB_PIG,186.36,32,32,8.3451E3,13,13,21,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
7,5,P18648|APOA1_PIG,178.24,29,29,7.7808E3,10,10,22,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
9,3,Q6QAQ1|ACTB_PIG,176.35,31,31,1.1083E3,10,4,17,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
11,11,P68137|ACTS_PIG,170.91,25,25,3.9336E2,9,3,13,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
10,10,Q19AZ8|THRB_PIG,170.08,9,9,1.7165E3,8,8,13,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
13,29,Q767L7|TBB5_PIG,141.46,11,11,1.1918E3,5,5,11,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
6,7,P51524|PF11_PIG,139.41,24,24,4.0876E4,9,9,35,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
17,59,P06867|PLMN_PIG,127.44,3,3,5.4061E2,5,5,7,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
14,197,Q9TV61|MYH1_PIG,125.48,2,2,8.6637E2,4,4,9,,223171,Myosin-1 OS=Sus scrofa OX=9823 GN=MYH1 PE=2 SV=1
16,27,P01025|CO3_PIG,121.19,2,2,3.4941E3,5,5,8,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
4,47,O97507|FA12_PIG,115.36,4,4,4.0943E5,3,3,51,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
15,133,Q95JC9|PRP_PIG,112.23,2,2,3.9225E3,4,4,9,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
18,77,Q95274|TYB4_PIG,105.33,55,55,2.3561E3,3,3,4,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
19,31,P18650|APOE_PIG,104.16,10,10,2.0289E4,3,3,4,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
22,190,P50390|TTHY_PIG,100.53,11,11,4.367E2,3,3,3,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
28,802,P29269|MYL9_PIG,85.75,9,9,1.1346E3,2,2,2,Oxidation (M),19827,Myosin regulatory light polypeptide 9 OS=Sus scrofa OX=9823 GN=MYL9 PE=1 SV=2
21,14,P00355|G3P_PIG,79.27,5,5,3.0004E3,2,2,3,,35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
35,697,P62901|RL31_PIG,75.11,18,18,0,1,1,1,,14463,60S ribosomal protein L31 OS=Sus scrofa OX=9823 GN=RPL31 PE=1 SV=1
27,699,Q71LE2|H33_PIG,71.82,11,11,4.5783E2,1,1,2,,15328,Histone H3.3 OS=Sus scrofa OX=9823 GN=H3-3A PE=2 SV=3
32,76,Q29308|RS19_PIG,68.88,10,10,2.8141E2,1,1,1,,15103,40S ribosomal protein S19 (Fragment) OS=Sus scrofa OX=9823 GN=RPS19 PE=2 SV=3
23,766,Q9GLP2|PROC_PIG,68.39,3,3,2.3553E3,1,1,3,,51867,Vitamin K-dependent protein C OS=Sus scrofa OX=9823 GN=PROC PE=2 SV=1
29,280,P67985|RL22_PIG,65.64,11,11,6.14E2,1,1,2,,14759,60S ribosomal protein L22 OS=Sus scrofa OX=9823 GN=RPL22 PE=1 SV=2
41,700,P80272|HMGN2_PIG,62.17,14,14,0,1,1,1,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
25,53,Q9GLP1|FA5_PIG,59.50,0,0,0,1,1,2,,256078,Coagulation factor V OS=Sus scrofa OX=9823 GN=F5 PE=2 SV=1
43,1736,Q2LE37|APOM_PIG,57.34,12,12,0,1,1,1,,21241,Apolipoprotein M OS=Sus scrofa OX=9823 GN=APOM PE=2 SV=1
26,83,P50447|A1AT_PIG,57.30,4,4,7.1673E2,1,1,2,,47194,Alpha-1-antitrypsin OS=Sus scrofa OX=9823 GN=SERPINA1 PE=2 SV=1
38,24,P29700|FETUA_PIG,53.41,4,4,1.7838E2,1,1,1,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
37,667,P00791|PEPA_PIG,50.77,4,4,0,1,1,1,,41262,Pepsin A OS=Sus scrofa OX=9823 GN=PGA PE=1 SV=3
36,185,P02550|TBA1A_PIG,48.49,3,3,1.2092E2,1,1,1,,50069,Tubulin alpha-1A chain OS=Sus scrofa OX=9823 GN=TUBA1A PE=1 SV=1
36,177,Q2XVP4|TBA1B_PIG,48.49,3,3,1.2092E2,1,1,1,,50152,Tubulin alpha-1B chain OS=Sus scrofa OX=9823 GN=TUBA1B PE=1 SV=1
39,81,O19084|CDSN_PIG,46.58,5,5,6.2096E2,1,1,1,,21644,Corneodesmosin (Fragment) OS=Sus scrofa OX=9823 GN=CDSN PE=3 SV=1
40,4,P02543|VIME_PIG,43.94,5,5,0,1,1,1,,53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
20,714,O62640|PIAP_PIG,43.18,3,3,9.7855E4,1,1,3,Oxidation (M),40977,Putative inhibitor of apoptosis OS=Sus scrofa OX=9823 GN=PIAP PE=2 SV=1
42,84,P62936|PPIA_PIG,41.84,7,7,6.8886E2,1,1,1,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
34,93,Q5U9S1|MBL1_PIG,41.62,9,9,0,1,1,1,Oxidation (M),26489,Mannose-binding protein A OS=Sus scrofa OX=9823 GN=MBL1 PE=1 SV=1
33,60,P09571|TRFE_PIG,41.25,2,2,0,1,1,1,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
33,80,Q29545|ICA_PIG,41.25,2,2,0,1,1,1,,77634,Inhibitor of carbonic anhydrase OS=Sus scrofa OX=9823 GN=ICA PE=1 SV=1
31,42,C0HL13|LRP2_PIG,40.07,1,1,0,1,1,1,,521313,Low-density lipoprotein receptor-related protein 2 OS=Sus scrofa OX=9823 GN=LRP2 PE=1 SV=1
