Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 39,Area Sample 39,#Peptides,#Unique,#Spec Sample 39,PTM,Avg. Mass,Description
2,419909,tr|F1RX37|F1RX37_PIG,404.00,18,18,8.1028E5,69,69,317,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
1,419908,tr|F1RX36|F1RX36_PIG,401.89,30,30,2.9979E6,90,90,500,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,318471,P01965|HBA_PIG,269.78,70,70,5.2326E4,32,32,64,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
5,318305,P27917|APOC3_PIG,244.08,54,54,1.6845E4,14,14,28,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,319005,P02067|HBB_PIG,204.01,31,31,1.9822E4,10,10,23,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
4,318303,P51524|PF11_PIG,176.73,19,19,6.0774E4,13,13,31,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
4,318304,P51525|PF12_PIG,176.73,19,19,6.0774E4,13,13,31,,25855,Prophenin-2 OS=Sus scrofa OX=9823 PE=2 SV=1
8,318340,Q95JC9|PRP_PIG,169.02,7,7,1.7868E4,8,8,19,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
7,318380,P50390|TTHY_PIG,130.11,11,11,3.0056E4,3,3,23,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
13,318313,P19619|ANXA1_PIG,118.88,3,3,2.9437E3,2,2,4,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
10,318301,Q6QAQ1|ACTB_PIG,117.34,7,7,1.1764E3,3,1,9,,41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
16,318302,P68137|ACTS_PIG,101.54,7,7,1.4518E2,3,1,3,,42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
9,319393,Q29545|ICA_PIG,97.84,2,2,8.5892E3,3,3,10,,77634,Inhibitor of carbonic anhydrase OS=Sus scrofa OX=9823 GN=ICA PE=1 SV=1
9,318560,P09571|TRFE_PIG,97.84,2,2,8.5892E3,3,3,10,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
