Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Area Sample 1,#Peptides,#Unique,#Spec Sample 1,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,423.98,35,35,7.9136E6,170,170,973,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,2,P01965|HBA_PIG,360.81,96,96,3.3218E5,104,104,336,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
2,6,tr|F1RX37|F1RX37_PIG,353.77,15,15,1.5914E6,64,64,379,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
5,13,P27917|APOC3_PIG,321.32,54,54,2.5972E5,37,37,201,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,9,P02067|HBB_PIG,287.75,67,67,7.174E4,35,35,82,,16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
8,3,Q6QAQ1|ACTB_PIG,245.90,36,36,2.2116E4,30,30,58,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
4,7,P51524|PF11_PIG,245.37,39,39,1.0879E6,34,20,257,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
10,5,P18648|APOA1_PIG,244.17,35,35,1.7662E4,22,22,52,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
9,4,P02543|VIME_PIG,232.75,25,25,1.4325E4,25,25,52,,53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
7,15,P19619|ANXA1_PIG,227.21,10,10,7.2488E4,12,12,68,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
11,12,P80054|PR39_PIG,199.30,30,30,2.1626E3,17,3,34,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
12,10,Q19AZ8|THRB_PIG,172.80,15,15,4.8898E3,9,9,15,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
13,31,P18650|APOE_PIG,158.78,15,15,1.4165E4,9,9,15,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
21,29,Q767L7|TBB5_PIG,157.99,12,12,4.2423E3,6,6,7,,49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
27,46,P14632|TRFL_PIG,147.81,4,4,2.0867E3,4,4,5,,77626,Lactotransferrin OS=Sus scrofa OX=9823 GN=LTF PE=1 SV=3
24,59,P06867|PLMN_PIG,146.17,2,2,4.9942E3,5,5,6,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
