Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 5,Area Sample 5,#Peptides,#Unique,#Spec Sample 5,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,429.06,36,36,5.6052E6,213,213,961,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,318305,P27917|APOC3_PIG,381.26,69,69,1.8546E6,88,88,767,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
4,419909,tr|F1RX37|F1RX37_PIG,339.42,11,11,2.1393E6,48,48,369,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
5,318311,P18648|APOA1_PIG,322.55,66,66,4.5136E5,54,54,183,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
3,318303,P51524|PF11_PIG,297.65,46,46,1.3328E6,53,27,423,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
6,318471,P01965|HBA_PIG,267.48,64,64,6.3829E5,37,37,169,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
7,318310,P80054|PR39_PIG,267.42,31,31,1.2176E5,31,5,117,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
14,319005,P02067|HBB_PIG,216.98,52,52,6.4839E4,23,23,32,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
13,318803,P80272|HMGN2_PIG,212.76,49,49,3.5803E4,14,14,33,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
10,318329,Q95274|TYB4_PIG,207.53,57,57,1.3878E5,19,19,52,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
11,318301,Q6QAQ1|ACTB_PIG,200.49,29,29,5.517E4,20,20,38,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
8,318328,P01025|CO3_PIG,192.45,4,4,7.078E4,12,12,62,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
12,318313,P19619|ANXA1_PIG,179.51,4,4,4.1705E4,7,7,34,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
16,318306,P0DSO0|SAA2_PIG,178.75,41,41,3.6772E4,13,13,22,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
15,318380,P50390|TTHY_PIG,173.92,15,15,2.9342E4,6,6,24,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
20,318326,P79263|ITIH4_PIG,172.28,7,7,1.2069E5,9,9,17,Oxidation (M),102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
17,318560,P09571|TRFE_PIG,165.92,12,12,7.4638E4,10,10,20,Oxidation (M),76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
9,319560,Q8SPS7|HPT_PIG,161.87,9,9,3.4016E5,8,8,59,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
21,318307,P02543|VIME_PIG,157.86,12,12,1.9518E4,11,11,16,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
22,318350,P06348|H1T_PIG,154.64,11,11,1.1679E4,8,8,14,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
23,318314,P29700|FETUA_PIG,148.54,18,18,6.4071E3,7,7,13,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
33,318337,Q767L7|TBB5_PIG,130.11,8,8,7.2734E2,3,3,4,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
25,319007,Q29052|ITIH1_PIG,124.61,3,3,2.5777E4,5,5,9,,100395,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Sus scrofa OX=9823 GN=ITIH1 PE=2 SV=1
24,319333,P17741|HMGB2_PIG,123.24,21,21,5.3844E3,6,6,12,,24133,High mobility group protein B2 OS=Sus scrofa OX=9823 GN=HMGB2 PE=1 SV=2
19,318340,Q95JC9|PRP_PIG,120.33,3,3,4.943E4,5,5,18,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
28,318428,P00355|G3P_PIG,118.97,9,9,3.2555E3,3,3,7,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
26,318690,P21753|TYB10_PIG,115.98,50,50,8.701E3,4,4,9,,4823,Thymosin beta-10 OS=Sus scrofa OX=9823 GN=TMSB10 PE=1 SV=2
31,320063,P08835|ALBU_PIG,108.68,4,4,5.6068E3,4,4,5,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
30,318323,P06867|PLMN_PIG,97.46,1,1,1.9213E4,4,4,6,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
35,322392,O46409|APOA4_PIG,97.19,10,10,4.0636E3,4,4,4,,43294,Apolipoprotein A-IV OS=Sus scrofa OX=9823 GN=APOA4 PE=2 SV=1
29,319102,P51779|CFAD_PIG,95.83,7,7,1.3524E4,2,2,6,Oxidation (M),27764,Complement factor D OS=Sus scrofa OX=9823 GN=CFD PE=2 SV=1
27,319077,O02668|ITIH2_PIG,89.90,2,2,1.1347E4,4,4,8,Oxidation (M),104622,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Sus scrofa OX=9823 GN=ITIH2 PE=2 SV=1
34,318315,Q19AZ8|THRB_PIG,89.17,4,4,2.785E3,2,2,4,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
32,318442,P10668|COF1_PIG,86.02,15,15,2.3958E3,2,2,5,,18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
41,318528,P20305|GELS_PIG,81.73,3,3,1.9944E3,3,3,3,Oxidation (M),84775,Gelsolin (Fragment) OS=Sus scrofa OX=9823 GN=GSN PE=1 SV=1
44,318856,P04574|CPNS1_PIG,75.54,10,10,0,1,1,2,Oxidation (M),28068,Calpain small subunit 1 OS=Sus scrofa OX=9823 GN=CAPNS1 PE=1 SV=1
38,318949,Q29549|CLUS_PIG,73.44,5,5,2.1882E3,3,3,3,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
37,318386,P62936|PPIA_PIG,70.42,12,12,6.9719E2,2,2,4,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
47,318804,P67985|RL22_PIG,70.20,11,11,3.9164E2,1,1,2,,14759,60S ribosomal protein L22 OS=Sus scrofa OX=9823 GN=RPL22 PE=1 SV=2
43,318542,Q9GLP1|FA5_PIG,65.40,1,1,8.6328E2,1,1,2,,256078,Coagulation factor V OS=Sus scrofa OX=9823 GN=F5 PE=2 SV=1
46,318719,P21692|MMP1_PIG,61.17,3,3,3.8344E2,1,1,2,,53666,Interstitial collagenase OS=Sus scrofa OX=9823 GN=MMP1 PE=1 SV=2
40,320057,P50447|A1AT_PIG,60.11,2,2,1.7168E4,2,2,3,Oxidation (M),47194,Alpha-1-antitrypsin OS=Sus scrofa OX=9823 GN=SERPINA1 PE=2 SV=1
55,318366,Q8MJ49|OSTF1_PIG,58.98,7,7,4.485E2,1,1,1,,23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
39,318342,P14632|TRFL_PIG,55.34,2,2,6.6359E2,1,1,3,,77626,Lactotransferrin OS=Sus scrofa OX=9823 GN=LTF PE=1 SV=3
42,318332,P80310|S10AC_PIG,54.15,15,15,2.7625E3,1,1,3,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
57,322393,P01846|LAC_PIG,50.03,16,16,2.7254E2,1,1,1,,11003,Ig lambda chain C region OS=Sus scrofa OX=9823 PE=1 SV=1
52,319487,Q1KYT0|ENOB_PIG,47.17,3,3,1.1619E3,1,1,1,,47130,Beta-enolase OS=Sus scrofa OX=9823 GN=ENO3 PE=2 SV=1
61,318841,A0PFK5|CAZA1_PIG,46.49,5,5,1.2196E3,1,1,1,,33017,F-actin-capping protein subunit alpha-1 OS=Sus scrofa OX=9823 GN=CAPZA1 PE=1 SV=1
61,318718,Q29221|CAZA2_PIG,46.49,5,5,1.2196E3,1,1,1,,32981,F-actin-capping protein subunit alpha-2 OS=Sus scrofa OX=9823 GN=CAPZA2 PE=2 SV=3
58,319158,P00791|PEPA_PIG,43.65,4,4,6.5148E2,1,1,1,,41262,Pepsin A OS=Sus scrofa OX=9823 GN=PGA PE=1 SV=3
59,318868,P60662|MYL6_PIG,41.69,9,9,3.2483E2,1,1,1,,16930,Myosin light polypeptide 6 OS=Sus scrofa OX=9823 GN=MYL6 PE=1 SV=2
45,318359,P18650|APOE_PIG,41.62,3,3,2.8606E3,1,1,2,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
53,319760,O97507|FA12_PIG,39.87,2,2,2.7131E3,1,1,1,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
48,318335,F1SC07|DYH11_PIG,39.73,0,0,0,1,1,1,,519623,Dynein axonemal heavy chain 11 OS=Sus scrofa OX=9823 GN=DNAH11 PE=1 SV=4
60,319843,B3SP85|GILT_PIG,39.04,4,4,6.5381E2,1,1,1,,27614,Gamma-interferon-inducible-lysosomal thiol reductase OS=Sus scrofa OX=9823 GN=IFI30 PE=2 SV=1
56,319721,Q5XLD3|KCRM_PIG,38.62,4,4,6.4008E2,1,1,1,Oxidation (M),43059,Creatine kinase M-type OS=Sus scrofa OX=9823 GN=CKM PE=2 SV=1
54,318860,P50828|HEMO_PIG,38.51,2,2,0,1,1,1,,51306,Hemopexin OS=Sus scrofa OX=9823 GN=HPX PE=1 SV=1
62,320263,P62901|RL31_PIG,38.46,8,8,1.6894E2,1,1,1,,14463,60S ribosomal protein L31 OS=Sus scrofa OX=9823 GN=RPL31 PE=1 SV=1
