Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 17,Area Sample 17,#Peptides,#Unique,#Spec Sample 17,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,462.00,40,40,7.4871E6,302,302,2288,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
4,13,P27917|APOC3_PIG,355.83,71,71,6.8298E5,73,73,455,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
2,6,tr|F1RX37|F1RX37_PIG,339.11,23,23,3.2014E6,69,69,546,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,7,P51524|PF11_PIG,301.88,58,58,1.613E6,71,38,484,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
6,5,P18648|APOA1_PIG,295.03,54,54,1.1618E5,42,42,143,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
7,2,P01965|HBA_PIG,280.46,81,81,1.2536E5,57,57,109,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
10,3,Q6QAQ1|ACTB_PIG,274.54,50,50,2.5722E4,49,26,85,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
5,12,P80054|PR39_PIG,272.63,44,44,9.2892E4,44,10,212,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
12,4,P02543|VIME_PIG,253.08,28,28,3.3723E4,41,41,53,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
8,15,P19619|ANXA1_PIG,240.91,4,4,1.3945E5,15,15,107,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
11,27,P01025|CO3_PIG,232.89,8,8,7.4824E4,20,20,71,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
14,10,Q19AZ8|THRB_PIG,232.82,16,16,4.1206E4,20,20,48,Oxidation (M),70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
16,11,P68137|ACTS_PIG,226.59,30,30,1.4723E2,24,1,42,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
13,9,P02067|HBB_PIG,221.34,41,41,5.5996E4,17,17,49,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
17,31,P18650|APOE_PIG,209.31,25,25,4.1383E4,17,17,35,Oxidation (M),36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
18,26,P0DSO0|SAA2_PIG,186.00,44,44,1.7821E4,14,14,24,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
19,29,Q767L7|TBB5_PIG,182.13,14,14,3.5214E3,9,9,19,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
21,82,Q29549|CLUS_PIG,179.22,16,16,3.9232E3,11,11,18,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
