Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 67,Area Sample 67,#Peptides,#Unique,#Spec Sample 67,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,370.84,55,55,9.6066E6,477,477,2286,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,13,P27917|APOC3_PIG,310.87,79,79,3.7744E6,136,136,1144,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
4,6,tr|F1RX37|F1RX37_PIG,264.23,24,24,2.9808E6,87,87,576,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
7,2,P01965|HBA_PIG,255.78,97,97,3.5473E5,134,134,316,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
6,5,P18648|APOA1_PIG,252.30,67,67,7.2257E5,74,74,372,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
3,7,P51524|PF11_PIG,245.61,58,58,4.238E6,90,43,885,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
5,12,P80054|PR39_PIG,224.84,45,45,1.0956E5,57,9,379,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
8,32,P49931|PMP36_PIG,219.19,36,36,1.6115E3,49,2,284,,18647,Antibacterial peptide PMAP-36 OS=Sus scrofa OX=9823 GN=PMAP36 PE=2 SV=1
11,3,Q6QAQ1|ACTB_PIG,201.91,50,50,1.0235E5,55,55,111,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
14,9,P02067|HBB_PIG,201.06,52,52,1.1846E5,30,30,67,,16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
13,10,Q19AZ8|THRB_PIG,194.33,24,24,1.0503E5,33,33,76,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
9,133,Q95JC9|PRP_PIG,179.77,11,11,6.2476E5,28,26,185,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
16,26,P0DSO0|SAA2_PIG,178.02,53,53,6.5592E4,28,28,51,,14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
12,27,P01025|CO3_PIG,166.38,7,7,7.4607E4,22,22,86,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
17,31,P18650|APOE_PIG,164.78,34,34,6.5526E4,24,24,46,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
15,15,P19619|ANXA1_PIG,163.40,11,11,6.6302E4,13,13,66,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
21,1861,O46409|APOA4_PIG,147.18,18,18,1.7442E4,15,15,18,,43294,Apolipoprotein A-IV OS=Sus scrofa OX=9823 GN=APOA4 PE=2 SV=1
10,24,P29700|FETUA_PIG,137.89,17,17,1.3112E5,15,15,124,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
18,33,P08835|ALBU_PIG,137.74,17,17,4.7386E4,19,19,32,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
23,4,P02543|VIME_PIG,130.28,25,25,7.3059E3,14,14,17,,53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
25,593,O02668|ITIH2_PIG,128.74,12,12,9.2734E3,10,10,14,Oxidation (M),104622,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Sus scrofa OX=9823 GN=ITIH2 PE=2 SV=1
19,77,Q95274|TYB4_PIG,124.27,66,66,1.3889E4,10,9,25,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
26,82,Q29549|CLUS_PIG,123.59,20,20,5.1069E3,9,9,14,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
20,286,P48819|VTNC_PIG,119.28,11,11,1.0787E5,9,9,19,,52572,Vitronectin OS=Sus scrofa OX=9823 GN=VTN PE=1 SV=1
28,59,P06867|PLMN_PIG,115.85,4,4,1.5472E4,9,9,12,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
29,14,P00355|G3P_PIG,102.90,23,23,3.8635E3,7,7,12,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
32,1705,Q8MJ49|OSTF1_PIG,94.94,17,17,6.6018E3,3,3,7,,23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
31,84,P62936|PPIA_PIG,93.46,20,20,9.7313E3,5,5,9,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
30,37,Q5S1U1|HSPB1_PIG,91.93,36,36,5.2863E3,5,5,11,,22942,Heat shock protein beta-1 OS=Sus scrofa OX=9823 GN=HSPB1 PE=2 SV=1
24,63,P79263|ITIH4_PIG,90.30,5,5,2.0548E4,5,5,15,,102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
34,136,P53714|ITB2_PIG,89.49,4,4,1.8727E3,4,4,5,,84790,Integrin beta-2 OS=Sus scrofa OX=9823 GN=ITGB2 PE=2 SV=1
35,56,P10668|COF1_PIG,79.06,10,10,4.4084E3,3,3,5,,18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
33,61,P06348|H1T_PIG,77.85,12,12,5.931E3,5,5,6,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
