Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 40,Area Sample 40,#Peptides,#Unique,#Spec Sample 40,PTM,Avg. Mass,Description
1,6,tr|F1RX37|F1RX37_PIG,321.16,11,11,2.8244E6,80,80,962,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
2,1,tr|F1RX36|F1RX36_PIG,320.70,30,30,3.9385E6,92,92,808,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,13,P27917|APOC3_PIG,287.50,75,75,2.3866E5,57,57,174,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
4,2,P01965|HBA_PIG,269.62,91,91,1.4471E5,76,76,154,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
6,9,P02067|HBB_PIG,242.91,54,54,6.3137E4,37,37,78,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
8,5,P18648|APOA1_PIG,174.92,30,30,2.9091E4,12,12,24,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
15,15,P19619|ANXA1_PIG,165.32,4,4,7.138E3,8,8,11,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
12,3,Q6QAQ1|ACTB_PIG,163.96,25,25,4.6368E3,14,14,16,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
13,38,Q3BDI7|DSG1_PIG,162.21,4,4,9.2012E3,9,9,13,,113318,Desmoglein-1 OS=Sus scrofa OX=9823 GN=DSG1 PE=2 SV=1
7,81,O19084|CDSN_PIG,160.85,26,26,1.4486E4,11,11,24,Oxidation (M),21644,Corneodesmosin (Fragment) OS=Sus scrofa OX=9823 GN=CDSN PE=3 SV=1
5,7,P51524|PF11_PIG,159.27,21,21,3.0161E5,17,17,112,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
11,27,P01025|CO3_PIG,139.24,3,3,7.8749E3,7,7,17,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
18,77,Q95274|TYB4_PIG,128.18,57,57,3.469E3,9,9,10,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
14,10,Q19AZ8|THRB_PIG,124.35,6,6,3.1263E3,7,7,13,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
