Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 34,Area Sample 34,#Peptides,#Unique,#Spec Sample 34,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,701.94,47,47,3.8718E6,337,337,1054,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
6,318305,P27917|APOC3_PIG,577.84,79,79,1.1068E6,112,112,282,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
3,318560,P09571|TRFE_PIG,569.76,27,27,2.0967E6,78,76,415,Oxidation (M),76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
7,419909,tr|F1RX37|F1RX37_PIG,564.42,24,24,1.2629E6,68,68,268,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,318311,P18648|APOA1_PIG,561.58,85,85,7.2551E5,166,166,331,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
2,318471,P01965|HBA_PIG,482.77,87,87,2.3338E6,85,85,426,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
13,319077,O02668|ITIH2_PIG,422.83,33,33,1.6944E5,44,44,88,Oxidation (M),104622,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Sus scrofa OX=9823 GN=ITIH2 PE=2 SV=1
10,319005,P02067|HBB_PIG,417.92,63,63,3.1348E5,35,35,156,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
16,318428,P00355|G3P_PIG,405.42,55,55,1.4625E5,36,36,70,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
14,318301,Q6QAQ1|ACTB_PIG,397.65,55,55,3.7635E4,65,26,86,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
5,318303,P51524|PF11_PIG,387.98,42,42,1.56E6,53,22,292,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
8,318310,P80054|PR39_PIG,382.44,48,48,2.2447E5,47,17,204,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
11,318329,Q95274|TYB4_PIG,379.02,84,84,1.0853E6,32,32,146,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
9,318328,P01025|CO3_PIG,377.52,22,22,5.1506E5,45,45,166,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
17,318321,P49932|PMP37_PIG,355.79,46,46,7.3782E3,33,2,66,,18927,Antibacterial peptide PMAP-37 OS=Sus scrofa OX=9823 GN=PMAP37 PE=2 SV=1
15,320063,P08835|ALBU_PIG,340.24,25,25,2.4224E5,28,28,80,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
29,318313,P19619|ANXA1_PIG,338.16,15,15,4.8972E4,18,18,29,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
21,318307,P02543|VIME_PIG,335.72,32,32,3.6937E4,40,40,54,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
18,318332,P80310|S10AC_PIG,333.42,71,71,2.8557E4,16,16,63,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
12,319560,Q8SPS7|HPT_PIG,331.81,23,23,2.2212E6,21,21,130,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
20,318302,P68137|ACTS_PIG,325.92,42,42,5.2378E3,43,4,55,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
27,318528,P20305|GELS_PIG,316.68,26,26,4.1517E4,21,21,31,Oxidation (M),84775,Gelsolin (Fragment) OS=Sus scrofa OX=9823 GN=GSN PE=1 SV=1
24,318803,P80272|HMGN2_PIG,296.71,81,81,2.6772E4,14,14,37,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
28,318342,P14632|TRFL_PIG,295.62,14,14,3.941E4,17,15,31,,77626,Lactotransferrin OS=Sus scrofa OX=9823 GN=LTF PE=1 SV=3
19,318326,P79263|ITIH4_PIG,291.23,11,11,2.0537E5,17,17,55,Oxidation (M),102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
23,322393,P01846|LAC_PIG,282.59,58,58,8.0685E4,15,15,43,,11003,Ig lambda chain C region OS=Sus scrofa OX=9823 PE=1 SV=1
26,318380,P50390|TTHY_PIG,281.97,29,29,5.4781E4,11,11,32,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
22,318314,P29700|FETUA_PIG,279.09,17,17,8.8576E4,20,20,49,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
25,318557,P62802|H4_PIG,278.87,50,50,8.329E4,16,16,36,Oxidation (M),11367,Histone H4 OS=Sus scrofa OX=9823 PE=1 SV=2
36,318359,P18650|APOE_PIG,277.57,20,20,2.7172E4,14,14,17,Oxidation (M),36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
33,318306,P0DSO0|SAA2_PIG,268.72,58,58,2.3966E4,14,14,26,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
31,318690,P21753|TYB10_PIG,252.33,55,55,1.3326E5,9,9,29,,4823,Thymosin beta-10 OS=Sus scrofa OX=9823 GN=TMSB10 PE=1 SV=2
30,318442,P10668|COF1_PIG,241.13,51,51,6.9602E4,11,11,29,Oxidation (M),18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
32,319333,P17741|HMGB2_PIG,236.97,38,38,2.9907E4,18,15,27,Oxidation (M),24133,High mobility group protein B2 OS=Sus scrofa OX=9823 GN=HMGB2 PE=1 SV=2
38,318315,Q19AZ8|THRB_PIG,234.88,9,9,3.4234E4,10,10,16,Oxidation (M),70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
47,318323,P06867|PLMN_PIG,226.33,2,2,1.9497E4,6,6,8,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
35,318949,Q29549|CLUS_PIG,212.29,22,22,1.7655E4,11,11,18,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
41,320057,P50447|A1AT_PIG,211.72,10,10,1.3894E4,6,6,10,,47194,Alpha-1-antitrypsin OS=Sus scrofa OX=9823 GN=SERPINA1 PE=2 SV=1
37,318839,Q71LE2|H33_PIG,210.91,40,40,2.7805E4,7,7,17,Oxidation (M),15328,Histone H3.3 OS=Sus scrofa OX=9823 GN=H3-3A PE=2 SV=3
39,319007,Q29052|ITIH1_PIG,207.15,5,5,1.8303E4,6,6,12,,100395,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Sus scrofa OX=9823 GN=ITIH1 PE=2 SV=1
62,318719,P21692|MMP1_PIG,194.01,7,7,2.0119E3,4,4,4,,53666,Interstitial collagenase OS=Sus scrofa OX=9823 GN=MMP1 PE=1 SV=2
34,318350,P06348|H1T_PIG,193.85,16,16,2.1394E4,12,12,22,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
