Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 18,Area Sample 18,#Peptides,#Unique,#Spec Sample 18,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,463.00,40,40,7.6191E6,252,252,1464,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,419909,tr|F1RX37|F1RX37_PIG,354.91,21,21,3.0737E6,71,71,606,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,318305,P27917|APOC3_PIG,354.09,78,78,1.0311E6,66,66,343,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,318301,Q6QAQ1|ACTB_PIG,310.40,48,48,1.9484E5,74,74,147,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
3,318303,P51524|PF11_PIG,309.76,52,52,3.1751E6,80,47,549,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
5,318310,P80054|PR39_PIG,265.99,30,30,4.9095E4,37,4,187,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
8,318311,P18648|APOA1_PIG,236.78,39,39,4.1522E4,25,25,47,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
7,318306,P0DSO0|SAA2_PIG,230.62,64,64,9.2015E4,29,29,66,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
10,318329,Q95274|TYB4_PIG,200.63,95,95,4.8841E4,14,13,40,Oxidation (M),5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
11,318313,P19619|ANXA1_PIG,198.71,9,9,4.0663E4,10,10,36,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
18,318315,Q19AZ8|THRB_PIG,186.26,13,13,1.6434E4,11,11,15,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
20,319005,P02067|HBB_PIG,179.02,27,27,1.0156E4,8,8,13,,16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
