Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 63,Area Sample 63,#Peptides,#Unique,#Spec Sample 63,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,420.03,57,57,1.2269E7,705,705,2701,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,2,P01965|HBA_PIG,367.41,97,97,4.1115E6,371,371,1415,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
4,13,P27917|APOC3_PIG,342.48,79,79,6.8642E6,193,193,934,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
5,6,tr|F1RX37|F1RX37_PIG,307.35,28,28,6.2905E6,130,130,899,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
7,5,P18648|APOA1_PIG,306.33,85,85,1.416E6,141,141,419,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
8,9,P02067|HBB_PIG,285.02,90,90,9.5421E5,124,124,352,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
3,7,P51524|PF11_PIG,280.04,67,67,6.715E6,144,77,1025,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
6,12,P80054|PR39_PIG,247.90,49,49,2.2706E5,78,19,626,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
9,30,P49932|PMP37_PIG,243.06,50,50,2.253E3,68,1,332,,18927,Antibacterial peptide PMAP-37 OS=Sus scrofa OX=9823 GN=PMAP37 PE=2 SV=1
10,32,P49931|PMP36_PIG,237.31,38,38,7.644E3,61,2,316,,18647,Antibacterial peptide PMAP-36 OS=Sus scrofa OX=9823 GN=PMAP36 PE=2 SV=1
11,23,P49930|PMP23_PIG,236.76,39,39,3.4047E3,60,1,308,,17486,Antibacterial peptide PMAP-23 OS=Sus scrofa OX=9823 GN=PMAP23 PE=2 SV=1
13,3,Q6QAQ1|ACTB_PIG,234.57,62,62,1.0924E5,86,37,149,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
14,10,Q19AZ8|THRB_PIG,228.64,26,26,5.7509E5,63,63,139,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
18,26,P0DSO0|SAA2_PIG,219.61,70,70,1.6265E5,58,58,89,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
17,11,P68137|ACTS_PIG,207.38,46,46,6.7579E3,52,3,91,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
12,133,Q95JC9|PRP_PIG,202.10,15,15,8.6613E5,37,35,201,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
19,31,P18650|APOE_PIG,200.70,44,44,1.9285E5,34,34,62,Oxidation (M),36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
22,15,P19619|ANXA1_PIG,195.76,11,11,1.0064E5,19,19,35,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
15,27,P01025|CO3_PIG,183.18,8,8,3.0843E5,32,32,116,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
16,24,P29700|FETUA_PIG,179.06,19,19,3.1648E5,36,36,100,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
