Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 44,Area Sample 44,#Peptides,#Unique,#Spec Sample 44,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,319.06,34,34,2.0931E6,137,137,535,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,419909,tr|F1RX37|F1RX37_PIG,312.63,14,14,9.0477E5,76,76,391,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,318471,P01965|HBA_PIG,276.04,94,94,1.4416E5,86,86,193,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
4,319005,P02067|HBB_PIG,243.55,60,60,7.4988E4,41,41,93,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
7,318305,P27917|APOC3_PIG,216.32,54,54,2.6032E4,24,24,52,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
9,318301,Q6QAQ1|ACTB_PIG,161.91,21,21,1.5586E4,11,11,27,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
6,318304,P51525|PF12_PIG,158.86,35,35,1.2382E5,20,15,67,,25855,Prophenin-2 OS=Sus scrofa OX=9823 PE=2 SV=1
6,318303,P51524|PF11_PIG,158.86,36,36,1.2382E5,20,15,67,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
5,318310,P80054|PR39_PIG,149.02,37,37,7.7352E4,14,9,76,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
10,318560,P09571|TRFE_PIG,132.59,6,6,1.5955E4,8,8,16,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
8,318340,Q95JC9|PRP_PIG,124.76,9,9,3.3431E4,10,10,33,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
19,318313,P19619|ANXA1_PIG,116.92,4,4,3.4667E3,4,4,5,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
17,318359,P18650|APOE_PIG,115.67,7,7,1.6524E3,5,5,6,Oxidation (M),36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
12,318315,Q19AZ8|THRB_PIG,115.45,6,6,3.429E3,6,6,11,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
15,318311,P18648|APOA1_PIG,109.02,18,18,1.7881E3,5,5,7,,30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
23,318803,P80272|HMGN2_PIG,98.82,34,34,5.772E2,3,3,3,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
14,318380,P50390|TTHY_PIG,94.02,11,11,8.6809E3,3,3,9,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
16,318314,P29700|FETUA_PIG,89.62,9,9,8.6429E2,4,4,7,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
21,318329,Q95274|TYB4_PIG,86.69,55,55,8.9053E2,3,3,3,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
18,318350,P06348|H1T_PIG,81.53,6,6,1.8587E3,4,4,6,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
20,318323,P06867|PLMN_PIG,71.05,2,2,4.9362E2,2,2,4,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
