Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 60,Area Sample 60,#Peptides,#Unique,#Spec Sample 60,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,770.43,52,52,1.2694E7,660,660,2838,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,6,tr|F1RX37|F1RX37_PIG,617.96,29,29,9.6197E6,140,140,1309,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,13,P27917|APOC3_PIG,586.07,79,79,2.9139E6,148,148,608,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,2,P01965|HBA_PIG,501.45,97,97,1.0215E6,170,170,499,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
7,5,P18648|APOA1_PIG,484.48,78,78,7.9265E5,152,152,346,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
3,7,P51524|PF11_PIG,457.79,71,71,8.1644E6,145,92,1196,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
13,9,P02067|HBB_PIG,440.06,64,64,2.2425E5,64,63,147,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
8,26,P0DSO0|SAA2_PIG,414.35,85,85,5.0082E5,106,106,272,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
10,3,Q6QAQ1|ACTB_PIG,396.86,66,66,1.188E5,123,64,189,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
5,12,P80054|PR39_PIG,394.31,54,54,6.1665E5,77,26,572,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
12,30,P49932|PMP37_PIG,367.86,51,51,6.7346E2,54,1,166,,18927,Antibacterial peptide PMAP-37 OS=Sus scrofa OX=9823 GN=PMAP37 PE=2 SV=1
22,15,P19619|ANXA1_PIG,365.76,18,18,1.2377E5,30,30,54,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
11,77,Q95274|TYB4_PIG,356.09,95,95,8.791E5,36,36,177,Oxidation (M),5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
15,700,P80272|HMGN2_PIG,354.48,94,94,1.8267E5,29,29,119,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
18,10,Q19AZ8|THRB_PIG,338.90,18,18,2.0366E5,36,36,79,Oxidation (M),70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
9,61,P06348|H1T_PIG,338.35,29,29,4.1509E5,49,49,206,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
17,11,P68137|ACTS_PIG,323.21,47,47,1.1702E3,61,2,87,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
19,63,P79263|ITIH4_PIG,303.69,13,13,2.0193E5,36,36,73,Oxidation (M),102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
23,84,P62936|PPIA_PIG,293.37,42,42,6.7364E4,25,25,50,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
20,24,P29700|FETUA_PIG,277.38,20,20,1.2156E5,31,31,73,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
14,27,P01025|CO3_PIG,263.21,9,9,3.6296E5,40,40,119,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
25,14,P00355|G3P_PIG,258.97,45,45,5.7107E4,21,21,29,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
27,31,P18650|APOE_PIG,257.58,24,24,5.3252E4,14,14,26,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
24,33,P08835|ALBU_PIG,252.70,16,16,5.7668E4,21,21,43,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
21,4,P02543|VIME_PIG,249.01,31,31,6.4088E4,36,36,54,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
29,82,Q29549|CLUS_PIG,226.75,24,24,1.7948E4,12,12,21,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
