Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 16,Area Sample 16,#Peptides,#Unique,#Spec Sample 16,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,667.60,45,45,1.4968E7,543,543,3342,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,5,P18648|APOA1_PIG,645.37,90,90,1.1933E7,468,468,3273,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
6,9,P02067|HBB_PIG,547.56,80,80,3.7469E6,164,159,824,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
3,2,P01965|HBA_PIG,535.99,98,98,1.1898E7,219,219,2195,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
8,13,P27917|APOC3_PIG,502.07,70,70,2.9456E6,100,100,576,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
4,7,P51524|PF11_PIG,470.52,67,67,2.8623E5,151,7,1827,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
5,8,P51525|PF12_PIG,468.07,63,63,8.219E3,146,2,1770,,25855,Prophenin-2 OS=Sus scrofa OX=9823 PE=2 SV=1
11,6,tr|F1RX37|F1RX37_PIG,431.77,11,11,2.5778E6,56,56,378,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
13,24,P29700|FETUA_PIG,410.78,28,28,5.0678E5,62,62,231,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
10,77,Q95274|TYB4_PIG,405.06,95,95,4.2785E6,56,54,424,Oxidation (M),5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
7,12,P80054|PR39_PIG,395.69,51,51,5.088E5,75,17,714,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
9,30,P49932|PMP37_PIG,386.30,45,45,1.6167E2,61,1,446,,18927,Antibacterial peptide PMAP-37 OS=Sus scrofa OX=9823 GN=PMAP37 PE=2 SV=1
14,700,P80272|HMGN2_PIG,371.84,73,73,6.0317E5,37,37,228,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
15,3,Q6QAQ1|ACTB_PIG,365.40,49,49,1.6902E5,86,31,179,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
17,15,P19619|ANXA1_PIG,348.45,14,14,4.2355E5,33,33,132,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
18,11,P68137|ACTS_PIG,340.16,33,33,1.286E4,58,3,118,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
16,14,P00355|G3P_PIG,332.65,54,54,4.3976E5,57,57,170,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
12,27,P01025|CO3_PIG,313.20,7,7,1.3011E6,39,39,315,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
19,33,P08835|ALBU_PIG,311.20,27,27,3.7422E5,34,34,113,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
27,1861,O46409|APOA4_PIG,309.32,31,31,9.8497E4,35,35,51,,43294,Apolipoprotein A-IV OS=Sus scrofa OX=9823 GN=APOA4 PE=2 SV=1
23,82,Q29549|CLUS_PIG,277.01,15,15,1.2312E5,28,28,65,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
21,2612,P21753|TYB10_PIG,269.46,95,95,7.273E5,15,13,96,Oxidation (M),4823,Thymosin beta-10 OS=Sus scrofa OX=9823 GN=TMSB10 PE=1 SV=2
30,26,P0DSO0|SAA2_PIG,255.85,43,43,6.9684E4,15,15,38,,14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
32,593,O02668|ITIH2_PIG,243.13,17,17,3.3346E4,24,24,37,Oxidation (M),104622,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Sus scrofa OX=9823 GN=ITIH2 PE=2 SV=1
22,4,P02543|VIME_PIG,230.25,25,25,2.2042E5,28,28,70,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
20,48,Q8SPS7|HPT_PIG,223.73,12,12,6.7078E5,8,8,105,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
24,61,P06348|H1T_PIG,221.87,13,13,1.6642E5,20,20,63,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
28,489,P17741|HMGB2_PIG,219.85,42,42,8.4954E4,23,17,44,Oxidation (M),24133,High mobility group protein B2 OS=Sus scrofa OX=9823 GN=HMGB2 PE=1 SV=2
