Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 64,Area Sample 64,#Peptides,#Unique,#Spec Sample 64,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,341.40,36,36,5.055E6,184,184,1775,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,6,tr|F1RX37|F1RX37_PIG,262.94,19,19,1.3489E6,63,63,470,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
5,13,P27917|APOC3_PIG,254.78,75,75,3.8055E5,50,50,278,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
2,7,P51524|PF11_PIG,234.05,57,57,1.7551E6,77,34,629,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
4,12,P80054|PR39_PIG,221.22,42,42,8.4421E4,59,16,397,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
6,32,P49931|PMP36_PIG,208.20,33,33,0,44,1,253,,18647,Antibacterial peptide PMAP-36 OS=Sus scrofa OX=9823 GN=PMAP36 PE=2 SV=1
8,5,P18648|APOA1_PIG,185.39,44,44,2.9608E4,28,28,61,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
9,3,Q6QAQ1|ACTB_PIG,171.84,31,31,2.3775E4,30,30,49,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
10,26,P0DSO0|SAA2_PIG,167.38,71,71,4.1273E4,23,23,47,,14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
11,2,P01965|HBA_PIG,162.44,60,60,2.5383E4,19,19,37,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
7,133,Q95JC9|PRP_PIG,161.14,13,13,1.612E5,19,18,101,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
13,10,Q19AZ8|THRB_PIG,147.80,16,16,1.4846E4,13,13,23,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
12,15,P19619|ANXA1_PIG,124.34,8,8,2.4518E4,6,6,25,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
18,9,P02067|HBB_PIG,123.48,25,25,5.4191E3,7,7,10,,16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
14,84,P62936|PPIA_PIG,118.13,24,24,1.1309E4,10,10,19,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
