Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 28,Area Sample 28,#Peptides,#Unique,#Spec Sample 28,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,488.28,35,35,3.6007E6,198,198,718,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,419909,tr|F1RX37|F1RX37_PIG,441.75,19,19,2.3314E6,80,80,514,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,318305,P27917|APOC3_PIG,434.60,78,78,1.1829E6,92,92,408,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,318560,P09571|TRFE_PIG,408.87,19,19,6.2532E5,68,53,239,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
5,318471,P01965|HBA_PIG,384.67,93,93,3.9563E5,98,98,290,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
8,319005,P02067|HBB_PIG,333.42,57,57,8.1394E4,34,34,77,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
7,318311,P18648|APOA1_PIG,316.92,38,38,8.5891E4,31,31,89,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
4,318310,P80054|PR39_PIG,308.18,45,45,3.0149E5,45,29,293,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
13,318303,P51524|PF11_PIG,243.51,27,27,1.8511E3,19,3,37,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
13,318304,P51525|PF12_PIG,243.51,25,25,1.8511E3,19,3,37,,25855,Prophenin-2 OS=Sus scrofa OX=9823 PE=2 SV=1
16,318307,P02543|VIME_PIG,239.55,23,23,1.0983E4,21,21,25,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
10,318329,Q95274|TYB4_PIG,224.25,95,95,1.0966E5,13,13,50,Oxidation (M),5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
20,318315,Q19AZ8|THRB_PIG,220.54,8,8,1.6287E4,11,11,19,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
15,318301,Q6QAQ1|ACTB_PIG,216.71,20,20,9.4463E3,16,16,30,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
11,318380,P50390|TTHY_PIG,206.52,16,16,9.0729E4,7,7,46,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
23,318428,P00355|G3P_PIG,203.87,23,23,1.2108E4,7,7,13,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
17,318839,Q71LE2|H33_PIG,196.33,42,42,1.7328E4,11,11,23,Oxidation (M),15328,Histone H3.3 OS=Sus scrofa OX=9823 GN=H3-3A PE=2 SV=3
12,319560,Q8SPS7|HPT_PIG,195.86,10,10,2.546E5,7,7,43,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
14,318332,P80310|S10AC_PIG,193.61,41,41,1.561E5,8,8,34,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
28,319077,O02668|ITIH2_PIG,183.86,6,6,7.5176E3,7,7,10,Oxidation (M),104622,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Sus scrofa OX=9823 GN=ITIH2 PE=2 SV=1
18,318557,P62802|H4_PIG,183.10,59,59,9.4921E4,11,11,22,Oxidation (M),11367,Histone H4 OS=Sus scrofa OX=9823 PE=1 SV=2
21,320063,P08835|ALBU_PIG,179.60,5,5,4.7902E4,7,7,19,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
22,318306,P0DSO0|SAA2_PIG,174.48,47,47,5.8755E3,10,10,15,,14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
26,318386,P62936|PPIA_PIG,153.04,20,20,5.6272E3,6,6,11,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
35,318323,P06867|PLMN_PIG,151.72,2,2,5.2013E3,5,5,6,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
37,318337,Q767L7|TBB5_PIG,149.97,12,12,5.855E3,4,4,6,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
33,318803,P80272|HMGN2_PIG,147.68,52,52,8.6135E2,4,4,8,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
29,318328,P01025|CO3_PIG,142.84,5,5,5.161E3,5,5,9,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
32,318313,P19619|ANXA1_PIG,140.10,3,3,4.9367E3,4,4,8,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
31,318314,P29700|FETUA_PIG,139.33,11,11,1.3894E3,5,5,8,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
19,319760,O97507|FA12_PIG,138.63,5,5,1.0922E5,4,4,21,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
36,318342,P14632|TRFL_PIG,132.37,6,6,1.021E3,4,2,6,Oxidation (M),77626,Lactotransferrin OS=Sus scrofa OX=9823 GN=LTF PE=1 SV=3
24,318326,P79263|ITIH4_PIG,128.46,3,3,1.3573E4,4,4,12,,102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
