Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 32,Area Sample 32,#Peptides,#Unique,#Spec Sample 32,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,632.13,51,51,1.0125E7,571,571,1943,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,13,P27917|APOC3_PIG,625.11,79,79,8.8068E6,247,247,1179,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,5,P18648|APOA1_PIG,569.11,87,87,3.3857E6,388,388,1007,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
2,2,P01965|HBA_PIG,532.47,97,97,5.0282E6,312,312,1432,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
7,9,P02067|HBB_PIG,520.22,82,82,1.6036E6,201,194,571,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
8,6,tr|F1RX37|F1RX37_PIG,491.86,18,18,4.3491E6,89,89,556,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
5,7,P51524|PF11_PIG,390.32,65,65,1.0128E7,130,93,1053,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
11,700,P80272|HMGN2_PIG,390.01,88,88,2.9452E5,42,42,193,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
10,77,Q95274|TYB4_PIG,367.17,95,95,2.8645E6,49,48,272,Oxidation (M),5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
23,15,P19619|ANXA1_PIG,348.05,15,15,2.2929E5,34,34,75,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
12,14,P00355|G3P_PIG,344.77,77,77,3.5306E5,90,90,181,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
4,12,P80054|PR39_PIG,342.30,53,53,2.8338E6,70,36,1147,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
13,3,Q6QAQ1|ACTB_PIG,337.32,51,51,8.152E4,93,42,171,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
18,24,P29700|FETUA_PIG,317.51,27,27,2.0506E5,44,44,103,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
9,27,P01025|CO3_PIG,313.61,16,16,1.0226E6,74,74,311,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
17,11,P68137|ACTS_PIG,308.54,41,41,3.4497E3,55,4,116,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
19,30,P49932|PMP37_PIG,307.18,46,46,1.0799E4,40,3,99,,18927,Antibacterial peptide PMAP-37 OS=Sus scrofa OX=9823 GN=PMAP37 PE=2 SV=1
